,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,SINGLE_OWNER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY
MLM793738058,used,Distrito Federal,Coyoacán,509900,MXN,Usado,,5,306 hp,,4x4,Sí,3 L,BMW,5,3.0,Gasolina,51000 km,X5,Automática,3.0 X5 Xdrive35ia Excellence . At,2016,,,,
MLM801490052,used,Distrito Federal,Venustiano Carranza,304900,MXN,Usado,,,,,,,,Ford,4,,Gasolina,32000 km,Edge,,3.5 SEL PLUS TA,2015,,,,
MLM792148256,used,Distrito Federal,Benito Juárez,225000,MXN,Usado,,,,,,,,Dodge,2,,Gasolina,60000 km,Ram 1500,,St,2016,,,,
MLM812927492,used,Hidalgo,Pachuca De Soto,695000,MXN,Usado,5829 mm,2,420 hp,,4x4,Sí,6162 cc,GMC,2,6.2,Gasolina,23000 km,Sierra,Automática,6.2 Denali Dvd At,2017,,,,
MLM803551421,used,Distrito Federal,Benito Juárez,125000,MXN,Usado,4091 mm,5,,,Delantera,Sí,1.6 L,Renault,5,1.6,Gasolina,48000 km,Stepway,Manual,1.6 Dynamique Mt,2015,,,,
MLM813442321,used,Hidalgo,Pachuca De Soto,449000,MXN,Usado,4624 mm,4,252 hp,,Trasera,Sí,1998 cc,BMW,4,2.0,Gasolina,42000 km,Serie 3,Automática,2.0 330ia Luxury Line At,2017,,,,
MLM803015307,used,Distrito Federal,Tlalpan,109900,MXN,Usado,4338 mm,4,103 hp,,Delantera,Sí,1598 cc,Chevrolet,4,1.6,Gasolina,76000 km,Aveo,Manual,1.6 Lt Mt Sedán,2016,,,,
MLM813790468,used,Hidalgo,Pachuca De Soto,129000,MXN,Usado,,3,,,Delantera,Sí,1.4 L,Fiat,3,1.4,Gasolina,50000 km,500,Manual,1.4 3p Trendy L4 Man Mt,2015,,,,
MLM812792145,used,Distrito Federal,Coyoacán,399900,MXN,Usado,3881 mm,5,,Sí,4x4,Sí,3.6 L,Jeep,5,3.6,Gasolina,33000 km,Wrangler,Automática,3.6 Sahara 4x4 At,2013,,,,
MLM806039975,used,Distrito Federal,Benito Juárez,175000,MXN,Usado,4455 mm,4,118 hp,,Delantera,Sí,1497 cc,Honda,4,1.5,Gasolina,28000 km,City,Manual,1.5 Lx Mt,2017,,,,
MLM813839431,used,Puebla,Puebla,575000,MXN,Usado,5293 mm,5,380 hp,,4x4,Sí,3496 cc,Lincoln,5,3.5,Gasolina,31000 km,Navigator,Automática,3.5 Reserve At,2016,,,,
MLM813555244,used,Puebla,Puebla,289900,MXN,Usado,,5,,,4x4,Sí,2 L,BMW,5,2.0,Gasolina,70000 km,X3,Automática,2.0 Xdrive 28i Top Line . At,2014,,,,
MLM813550974,used,Puebla,Puebla,299900,MXN,Usado,,4,,,4x2,Sí,5.7 L,Dodge,4,5.7,Gasolina,80000 km,Ram 2500,Manual,5.7 Pickup Crew Cab Laramie 4x2 Mt,2012,,,,
MLM813473446,used,Puebla,Puebla,135000,MXN,Usado,,,,,Delantera,Sí,2.4 L,Mitsubishi,2,2.4,Gasolina,61000 km,Eclipse,Automática,Gt Coupe At,2007,,,,
MLM812445467,used,Puebla,Puebla,215000,MXN,Usado,4241 mm,5,145 hp,,Delantera,Sí,2000 cc,Ford,5,2.0,Gasolina,38000 km,Ecosport,Automática,2.0 Trend At,2016,,,,
MLM812393789,used,Puebla,Puebla,345000,MXN,Usado,5127 mm,5,,,4x4,Sí,3.6 L,Buick,5,3.6,Gasolina,56000 km,Enclave,Automática,3.6 Paq D At,2015,,,,
MLM811469945,used,Puebla,Puebla,329900,MXN,Usado,4771 mm,5,,,Delantera,Sí,3.6 L,GMC,5,3.6,Gasolina,40000 km,Terrain,Manual,3.6 Denali Mt,2016,,,,
MLM811258264,used,Puebla,Puebla,279900,MXN,Usado,,,,,,,,Volkswagen,4,,Gasolina,13000 km,Passat,,2.5 Tdi At 2016,2016,,,,
MLM811245191,used,Puebla,Puebla,235000,MXN,Usado,,5,210 hp,,4x2,Sí,4 L,Ford,5,4.0,Gasolina,76000 km,Explorer,Manual,4.0 Xlt V6 3er Asiento Sync 4x2 Mt,2012,,,,
MLM810091924,used,Puebla,Puebla,219900,MXN,Usado,4759 mm,5,,,4x2,Sí,4.7 L,Jeep,5,4.7,Gasolina,90000 km,Grand Cherokee,Manual,4.7 Limited V8 4x2 Mt,2011,,,,
MLM809583686,used,Puebla,Puebla,579900,MXN,Usado,4780 mm,5,,,4x4,Sí,5.5 L,Mercedes-Benz,5,5.5,Gasolina,56000 km,Clase M,Manual,5.5l Ml 63 Amg Mt,2013,,,,
MLM809506456,used,Puebla,Puebla,649900,MXN,Usado,,5,,,4x4,Sí,3 L,Land Rover,5,3.0,Gasolina,62000 km,Range Rover,Automática,3.0 Sport Hse V6 Dyna Pack At,2014,,,,
MLM808301591,used,Puebla,Puebla,289900,MXN,Usado,,,,,Delantera,,1998 cc,Renault,5,,Gasolina,16000 km,Oroch,Automática,2.0 16v Outsider Aut,2019,,,,
MLM806941489,used,Puebla,Puebla,219900,MXN,Usado,,,,,Trasera,,2.5 L,BMW,4,,Gasolina,68000 km,Serie 3,Automática,2.5 325ia Exclusive Navi At,2012,,,,
MLM801068801,used,Puebla,Puebla,449900,MXN,Usado,,,,,Trasera,,1999 cc,Jaguar,4,,Gasolina,41000 km,XE,Automática,2.0 Pure At,2016,,,,
MLM813475571,used,Hidalgo,Pachuca De Soto,119000,MXN,Usado,,4,,,Delantera,Sí,2 L,Ford,4,2.0,Gasolina,118820 km,Focus,Automática,Se At,2012,,,,
MLM813555013,used,Puebla,Puebla,369900,MXN,Usado,4800 mm,4,1.4 hp,,Trasera,Sí,3498 cc,Infiniti,4,3.5,Híbrido/Gasolina,40000 km,Q50,Automática,3.5 Hybrid Design Line At,2016,,,,
MLM809498096,used,Puebla,Puebla,369900,MXN,Usado,4427 mm,5,150 hp,,Delantera,Sí,1390 cc,Volkswagen,5,1.4,Gasolina,40000 km,Tiguan,Automática,1.4 Comfortline Plus At,2018,,,,
MLM805152533,used,Puebla,Puebla,299900,MXN,Usado,,,,,Trasera,,2 L,BMW,4,,Gasolina,78000 km,Serie 5,Automática,2.0 528ia Luxury Line At,2014,,,,
MLM801052799,used,Puebla,Puebla,209900,MXN,Usado,,,,,Delantera,,1560 cc,Peugeot,4,,Diésel,24000 km,301,Manual,1.6 Active Hdi Diesel Mt,2019,,,,
MLM812391837,used,Puebla,Puebla,189900,MXN,Usado,,,,,,,883 cc,Harley-Davidson,,,,3000 km,883 2018,,,2018,.,.,,
MLM807827299,used,Distrito Federal,Tlalpan,319900,MXN,Usado,4695 mm,5,165 hp,,Delantera,Sí,2360 cc,Mitsubishi,5,2.4,Gasolina,32000 km,Outlander,Automática,2.4 Limited Cvt,2017,,,,
MLM803018969,used,Distrito Federal,Tlalpan,304900,MXN,Usado,4329 mm,3,177 hp,,Trasera,Sí,1598 cc,BMW,3,1.6,Gasolina,43000 km,Serie 1,Automática,1.6 3p 120ia Urban Line At,2017,,,,
MLM812843832,used,Distrito Federal,Coyoacán,114900,MXN,Usado,,,,,Delantera,Sí,1.6 L,Nissan,4,1.6,Gasolina,68000 km,Versa,Automática,1.6 Advance At,2013,,,,
MLM805579196,used,Distrito Federal,Coyoacán,539900,MXN,Usado,,,,,Delantera,,3605 cc,Chrysler,4,,Gasolina,24000 km,Pacifica,Automática,3.7 3.6 At,2017,,,,
MLM790042109,new,Nuevo León,Monterrey,171200,MXN,Nuevo,3675 mm,5,81 hp,No,Delantera,Sí,1206 cc,Chevrolet,5,1.3,Gasolina,0 km,Beat,Manual,1.3 Ls Mt,2020,,,,
MLM806358107,used,Distrito Federal,Tlalpan,314900,MXN,Usado,4458 mm,4,190 hp,,Delantera,Sí,1984 cc,Audi,4,2.0,Gasolina,49000 km,A3,Automática,2.0 Sedán L Select At Dsg,2017,,,,
MLM813471834,used,Distrito Federal,Coyoacán,459900,MXN,Usado,4370 mm,5,240 hp,Sí,4x4,Sí,1999 cc,Land Rover,5,2.0,Gasolina,37000 km,Evoque,Automática,2.0 Dynamique At,2015,,,,
MLM813458513,used,Distrito Federal,Coyoacán,239900,MXN,Usado,4590 mm,,,Sí,Delantera,Sí,1.6 L,Mercedes-Benz,2,1.6,Gasolina,48000 km,Clase C,Automática,1.6 180 Cgi Coupe At,2013,,,,
MLM813403321,used,Distrito Federal,Coyoacán,279900,MXN,Usado,,5,,Sí,4x4,Sí,2 L,BMW,5,2.0,Gasolina,36000 km,X3,Automática,2.0 Xdrive 28i . At,2014,,,,
MLM813390854,used,Distrito Federal,Coyoacán,449900,MXN,Usado,4191 mm,5,150 hp,Sí,4x2,Sí,1395 cc,Audi,5,1.4,Gasolina,2000 km,Q2,Automática,1.4 35 Tfsi Select,2019,,,,
MLM812931740,used,Distrito Federal,Coyoacán,184900,MXN,Usado,,5,136 hp,Sí,4x4,Sí,2.4 L,Chevrolet,5,2.4,Gasolina,36000 km,Captiva,Automática,2.4 Ls L4 Piel At,2015,,,,
MLM812343506,used,Distrito Federal,Coyoacán,519900,MXN,Usado,4801 mm,5,280 hp,Sí,4x4,Sí,3597 cc,Volkswagen,5,3.6,Gasolina,25000 km,Touareg,Automática,3.6 V6 Fsi At,2017,,,,
MLM811925378,used,Distrito Federal,Coyoacán,349900,MXN,Usado,5127 mm,5,,Sí,4x4,Sí,3.6 L,Buick,5,3.6,Gasolina,42000 km,Enclave,Automática,3.6 Paq D At,2015,,,,
MLM808615142,used,Distrito Federal,Coyoacán,439900,MXN,Usado,4726 mm,4,252 hp,Sí,4x4,Sí,1984 cc,Audi,4,2.0,Gasolina,27000 km,A4,Automática,2.0 T Select Quattro 252hp Dsg,2017,,,,
MLM812843768,used,Distrito Federal,Coyoacán,369900,MXN,Usado,5036 mm,5,290 hp,,Delantera,Sí,3497 cc,Ford,5,3.5,Gasolina,52000 km,Explorer,Automática,3.5 Xlt Piel At,2016,,,,
MLM803018922,used,Distrito Federal,Tlalpan,104900,MXN,Usado,4397 mm,4,,,Delantera,Sí,1.6 L,Chevrolet,4,1.6,Gasolina,92000 km,Sonic,Manual,1.6 Lt Mt,2013,,,4,
MLM806657391,used,Distrito Federal,Benito Juárez,175000,MXN,Usado,4482 mm,5,110 hp,,Delantera,Sí,1197 cc,SEAT,4,1.2,Gasolina,43000 km,Toledo,Manual,1.2 Style Mt,2016,,,,
MLM812846792,used,Distrito Federal,Coyoacán,468900,MXN,Usado,4439 mm,5,192 hp,,4x4,Sí,1998 cc,BMW,5,2.0,Gasolina,38000 km,X1,Automática,2.0 Sdrive 20ia M Sport At,2018,,,,
MLM812841401,used,Distrito Federal,Coyoacán,789900,MXN,Usado,,,,,Integral,,,Porsche,5,V6 BITURBO,Gasolina,67000 km,Macan,Automática,TURBO V6 PDK,2015,,,,
MLM812843848,used,Distrito Federal,Coyoacán,347900,MXN,Usado,,,,Sí,,,,Volkswagen,4,1.4LT,Gasolina,13000 km,Jetta,,WOLFSBURG EDITION,2020,,,,
MLM812841340,used,Distrito Federal,Coyoacán,589900,MXN,Usado,,,,Sí,Delantera,,,Nissan,5,3.5,Gasolina,11000 km,Murano,Automática,Exclusive,2019,,,,
MLM812843819,used,Distrito Federal,Coyoacán,103900,MXN,Usado,,5,,,4x4,Sí,3.8 L,Mitsubishi,5,3.8,Gasolina,82000 km,Endeavor,Automática,Xls Cd Aa At,2007,,,,
MLM812843810,used,Distrito Federal,Coyoacán,329900,MXN,Usado,4801 mm,5,280 hp,,4x4,,3.6 L,Volkswagen,5,3.6,Gasolina,65000 km,Touareg,Automática,3.6 At,2014,,,,
MLM812841349,used,Distrito Federal,Coyoacán,299900,MXN,Usado,,5,,,4x4,Sí,3.6 L,GMC,5,3.6,Gasolina,65000 km,Acadia,Automática,3.6 Denali V6 At,2014,,,,
MLM812843804,used,Distrito Federal,Coyoacán,417900,MXN,Usado,4941 mm,5,280 hp,,4x4,Sí,3471 cc,Honda,5,3.5,Gasolina,45000 km,Pilot,Automática,3.5 Touring At,2016,,,,
MLM812841369,used,Distrito Federal,Coyoacán,244900,MXN,Usado,3821 mm,,136 hp,,Delantera,Sí,1499 cc,Mini,3,1.5,Gasolina,59000 km,Cooper,Manual,1.5 Chili Mt,2016,,,,
MLM812843762,used,Distrito Federal,Coyoacán,379900,MXN,Usado,4388 mm,5,150 hp,,Delantera,Sí,1395 cc,Audi,5,1.4,Gasolina,48000 km,Q3,Automática,1.4 S Line 150 Hp Dsg,2017,,,,
MLM812843764,used,Distrito Federal,Coyoacán,129900,MXN,Usado,,,,,,,800 cc,BMW,,2 tiempos,Gasolina,49000 km,F 850 Gs,,,2010,BMW,Doble propósito,,
MLM813532948,used,Puebla,Puebla,119900,MXN,Usado,,4,,,Delantera,Sí,2.3 L,Ford,4,2.3,Gasolina,85000 km,Fusion,Automática,Se L4 At,2012,,,,
MLM812982440,used,Puebla,Puebla,149900,MXN,Usado,4625 mm,5,,,Delantera,Sí,1.8 L,Nissan,4,1.8,Gasolina,56000 km,Sentra,Automática,1.8 Advance At,2014,,,,
MLM812936230,used,Puebla,Puebla,119900,MXN,Usado,3675 mm,5,81 hp,,Delantera,Sí,1206 cc,Chevrolet,5,1.3,Gasolina,38000 km,Beat,Manual,1.3 Ls Mt,2018,,,,
MLM812883251,used,Puebla,Puebla,389900,MXN,Usado,4555 mm,5,188 hp,,4x2,Sí,2488 cc,Mazda,5,2.5,Gasolina,18000 km,CX-5,Automática,2.5 S Grand Touring 4x2 At,2018,,,,
MLM812876605,used,Puebla,Puebla,389900,MXN,Usado,4726 mm,,,,Delantera,Sí,6.2 L,Mercedes-Benz,2,6.2,Gasolina,55000 km,Clase C,Manual,6.2 63 Amg Mt,2011,,,,
MLM812879988,used,Puebla,Puebla,459900,MXN,Usado,4656 mm,5,241 hp,,4x4,Sí,1991 cc,Mercedes-Benz,5,2.0,Gasolina,55000 km,Clase GLC,Automática,2.0 300 Off Road At,2017,,,,
MLM812828218,used,Puebla,Puebla,174900,MXN,Usado,4652 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,4,2.5,Gasolina,75000 km,Jetta,Automática,2.5 Comfortline Mt At,2015,,,,
MLM812436276,used,Puebla,Puebla,135000,MXN,Usado,4338 mm,4,103 hp,,Delantera,Sí,1598 cc,Chevrolet,4,1.6,Gasolina,20000 km,Aveo,Automática,1.6 Lt At,2017,,,,
MLM812402042,used,Puebla,Puebla,195000,MXN,Usado,4455 mm,4,118 hp,,Delantera,Sí,1497 cc,Honda,4,1.5,Gasolina,41000 km,City,Automática,1.5 Ex At Cvt,2016,,,,
MLM812363176,used,Puebla,Puebla,359900,MXN,Usado,,5,,,4x4,Sí,2 L,Audi,5,2.0,Gasolina,48000 km,Q5,Automática,2.0 Elite L4 T At,2015,,,,
MLM806674851,used,Puebla,Puebla,199900,MXN,Usado,,,,,Delantera,,2488 cc,Mazda,4,,Gasolina,50000 km,Mazda 3,Manual,2.5 I Touring Sedan Mt,2016,,,,
MLM802042912,used,Puebla,Puebla,185000,MXN,Usado,,,,,Delantera,,1206 cc,Chevrolet,5,,Gasolina,3000 km,Beat,Manual,1.3 Ltz Mt,2020,,,,
MLM812843795,used,Distrito Federal,Coyoacán,289900,MXN,Usado,,5,281 hp,,Delantera,Sí,3.6 L,Chevrolet,5,3.6,Gasolina,49000 km,Traverse,Automática,3.6 Traverse - Lt V6 7/pas At,2015,,,,
MLM812846732,used,Distrito Federal,Coyoacán,269900,MXN,Usado,4247 mm,5,140 hp,,Delantera,Sí,1796 cc,Chevrolet,5,1.8,Gasolina,19000 km,Trax,Automática,1.8 Lt At,2018,,,,
MLM812846762,used,Distrito Federal,Coyoacán,216900,MXN,Usado,4570 mm,4,147 hp,Sí,Delantera,Sí,1999 cc,Hyundai,4,2.0,Gasolina,25000 km,Elantra,Automática,2.0 Gls Premium At,2017,,,,
MLM813810721,used,Puebla,Puebla,145000,MXN,Usado,,4,,,Delantera,Sí,1.8 L,Honda,4,1.8,Gasolina,66000 km,Civic,Automática,Dmt Ex Sedan At,2012,,,,
MLM813528696,used,Puebla,Puebla,159900,MXN,Usado,4580 mm,2,,,Trasera,Sí,3 L,BMW,2,3.0,Gasolina,72000 km,Serie 3,Automática,3.0 335i Coupe At,2007,,,,
MLM810003085,used,Puebla,Puebla,185000,MXN,Usado,4455 mm,4,118 hp,,Delantera,Sí,1497 cc,Honda,4,1.5,Gasolina,46000 km,City,Automática,1.5 Ex At Cvt,2016,,,,
MLM808274494,used,Puebla,Puebla,139900,MXN,Usado,,,,,Delantera,,1206 cc,Chevrolet,5,,Gasolina,32000 km,Beat,Manual,1.3 Ltz Mt,2018,,,,
MLM807664645,used,Puebla,Puebla,155000,MXN,Usado,,,,,Delantera,,1.5 L,Toyota,4,,Gasolina,50000 km,Yaris,Manual,1.5 Premium Sedan Mt,2016,,,,
MLM799295028,used,Estado De México,Huixquilucan,149500,MXN,Usado,3770 mm,5,85 hp,Sí,Delantera,Sí,1368 cc,Fiat,5,1.4,Gasolina,27500 km,Uno,Manual,1.4 Sporting Mt,2018,,,,
MLM812843782,used,Distrito Federal,Coyoacán,157900,MXN,Usado,4397 mm,5,,,Delantera,Sí,1.6 L,Chevrolet,5,1.6,Gasolina,52000 km,Sonic,Automática,1.6 Ltz At,2016,,,4,
MLM812846773,used,Distrito Federal,Coyoacán,259900,MXN,Usado,4895 mm,5,188 hp,,Delantera,Sí,2489 cc,Mazda,4,2.5,Gasolina,42000 km,Mazda 6,Automática,2.5 I Sport At,2017,,,,
MLM813842963,used,Puebla,Puebla,169900,MXN,Usado,,,,,Delantera,Sí,3.5 L,Nissan,4,3.5,Gasolina,58000 km,Altima,Automática,3.5 Exclusive V6 Piel Cvt,2013,,,,
MLM813002068,used,Puebla,Puebla,149900,MXN,Usado,4397 mm,4,115 hp,,Delantera,Sí,1600 cc,Chevrolet,4,1.6,Gasolina,46000 km,Sonic,Manual,1.6 Lt Mt,2016,,,,
MLM812992589,used,Puebla,Puebla,99900,MXN,Usado,4652 mm,5,200 hp,,Delantera,,2 L,Volkswagen,4,2.0,Gasolina,90000 km,Jetta Clásico,Automática,2.0 Trendline Tipronic At,2010,,,,
MLM809425095,used,Distrito Federal,Benito Juárez,255000,MXN,Usado,,2,,,Trasera,Sí,6.2 L,Chevrolet,2,6.2,Gasolina,58000 km,Camaro,Automática,Ss V8 At,2010,,,,
MLM813839812,used,Puebla,Puebla,189900,MXN,Usado,4384 mm,5,105 hp,,Delantera,,1.6 L,Volkswagen,4,1.6,Gasolina,51000 km,Vento,Manual,1.6 Highline Mt,2018,,,,
MLM813807518,used,Puebla,Puebla,189900,MXN,Usado,,5,,,4x2,Sí,5.4 L,Ford,5,5.4,Gasolina,78000 km,Expedition,Automática,5.4 Limited Piel V8 4x2 At,2009,,,,
MLM812392025,used,Puebla,Puebla,135000,MXN,Usado,,,,,,,,Ford,5,,Diésel,120000 km,Transit,,Diesel 2010,2010,,,,
MLM811469096,used,Puebla,Puebla,89900,MXN,Usado,4470 mm,5,,,Delantera,Sí,1.8 L,Nissan,4,1.8,Gasolina,88000 km,Tiida,Manual,1.8 Sense Sedan Mt,2010,,,,
MLM811300881,used,Puebla,Puebla,165000,MXN,Usado,,,,,,,,Volkswagen,4,,Gasolina,42000 km,Passat,,2.5 Comfortline 2014,2014,,,,
MLM811259244,used,Puebla,Puebla,159900,MXN,Usado,4652 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,4,2.5,Gasolina,48000 km,Jetta,Manual,2.5 Style Mt,2014,,,,
MLM811254776,used,Puebla,Puebla,195000,MXN,Usado,4384 mm,4,121 hp,,Delantera,Sí,1591 cc,Kia,4,1.6,Gasolina,19000 km,Rio,Manual,1.6 Lx Sedan Mt,2019,,,,
MLM809996355,used,Puebla,Puebla,95000,MXN,Usado,,,,,Delantera,Sí,2.5 L,Nissan,4,2.5,Gasolina,89000 km,Altima,Automática,2.5 S Basico At Cvt,2008,,,,
MLM806642951,used,Puebla,Puebla,169900,MXN,Usado,,,,,Delantera,,1591 cc,Kia,4,,Gasolina,50000 km,Rio,Manual,1.6 Lx Sedan Mt,2017,,,,
MLM803387315,used,Distrito Federal,Benito Juárez,179000,MXN,Usado,,5,,,4x4,Sí,3.6 L,GMC,5,3.6,Gasolina,72000 km,Acadia,Automática,3.6 D 8 Pas Qc Piel 4x4 At,2011,,,,
MLM813566495,used,Distrito Federal,Coyoacán,229900,MXN,Usado,,5,,No,4x4,Sí,2.5 L,Toyota,5,2.5,Gasolina,68000 km,RAV4,Automática,2.5 Xle L4/ At,2014,,,,
MLM812846737,used,Distrito Federal,Coyoacán,149900,MXN,Usado,4278 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,2,2.5,Gasolina,65000 km,Beetle,Manual,2.5 5 Vel Mt,2013,,,,
MLM808050150,used,Distrito Federal,Benito Juárez,169000,MXN,Usado,4238 mm,5,180 hp,,Delantera,Sí,1.8 L,Audi,5,1.8,Gasolina,55000 km,A3,Manual,1.8 Attraction Special Edition Mt,2012,,,,
MLM804304296,used,Distrito Federal,Coyoacán,149000,MXN,Usado,,5,,,4x2,Sí,3.5 L,Nissan,5,3.5,Gasolina,80000 km,Pathfinder,Automática,Le Ee Piel Aa 4x2 At,2001,,,,
MLM788087612,used,Distrito Federal,Coyoacán,269000,MXN,Usado,,,,Sí,,,1200 cc,BMW,,,Gasolina,35000 km,R 1200 Gs Adventure,,,2016,BMW 1200,Doble propósito,,
MLM788084674,used,Distrito Federal,Coyoacán,259000,MXN,Usado,,5,,Sí,4x2,Sí,4 L,Jeep,5,4.0,Gasolina,40000 km,Grand Cherokee,Automática,Laredo V6 Lujo 4x2 At,2013,,,,
MLM812561451,used,Distrito Federal,Benito Juárez,159000,MXN,Usado,,4,158 hp,,Delantera,Sí,2 L,Honda,4,2.0,Gasolina,58000 km,Civic,Automática,2.0 Ex Sedan . At,2013,,,,
MLM806225158,used,Distrito Federal,Coyoacán,369900,MXN,Usado,,,,,Delantera,,1580 cc,Kia,5,,Gasolina,17000 km,Niro,Automática,1.6 Gdi Lx At,2018,,,,
MLM812124276,used,Distrito Federal,Benito Juárez,379000,MXN,Usado,4780 mm,5,185 hp,,Delantera,Sí,2359 cc,Kia,5,2.4,Gasolina,10000 km,Sorento,Automática,2.4 Lx At,2020,,,,
MLM807712721,used,Distrito Federal,Coyoacán,449900,MXN,Usado,,,,,4x4,,1984 cc,Audi,5,,Gasolina,32000 km,Q5,Automática,2.0 L T Elite Dsg,2017,,,,
MLM812843754,used,Distrito Federal,Coyoacán,177900,MXN,Usado,4455 mm,4,118 hp,,Delantera,Sí,1497 cc,Honda,4,1.5,Gasolina,53000 km,City,Automática,1.5 Ex At Cvt,2016,,,,
MLM806321242,used,Distrito Federal,Coyoacán,198000,MXN,Usado,,,,Sí,,,800 cc,BMW,,,Gasolina,14000 km,F 800 Gs Adventure,,,2018,BMW,Doble propósito,,
MLM812843788,used,Distrito Federal,Coyoacán,109900,MXN,Usado,,5,307 hp,,4x2,Sí,4.7 L,Chrysler,5,4.7,Gasolina,89000 km,Aspen,Manual,4.7 Limited Qc Abs 4x2 Mt,2007,,,,
MLM795056592,used,Distrito Federal,Benito Juárez,365000,MXN,Usado,,,,,,Sí,,Audi,4,,Gasolina,49556 km,A4,Automática,Select 2.0 Tfsi 190 Hp S Tronic,2017,,,,
MLM810693579,used,Distrito Federal,Benito Juárez,145000,MXN,Usado,,5,,,Delantera,Sí,1.4 L,Suzuki,5,1.4,Gasolina,59000 km,Swift,Manual,1.4 Gls L4 Man Mt,2015,,,,
MLM806889638,used,Distrito Federal,Coyoacán,157900,MXN,Usado,,,,,Delantera,,1.5 L,Toyota,5,,Gasolina,42000 km,Yaris,Manual,1.5 Hb Premium L4 Man Mt,2015,,,,
MLM813786933,used,Jalisco,Zapopan,149500,MXN,Usado,,,,,,,,Ford,2,,Gasolina,105000 km,F-150,,Cajon largo at 8cil,2004,,,,
MLM809556626,used,Jalisco,Zapopan,139500,MXN,Usado,4492 mm,5,106 hp,,Delantera,Sí,1598 cc,Nissan,4,1.6,Gasolina,40566 km,Versa,Automática,1.6 Sense At,2016,,,,
MLM789331031,used,Jalisco,Zapopan,184500,MXN,Usado,,,,,Delantera,,1206 cc,Chevrolet,5,,Gasolina,37200 km,Beat,Manual,1.3 Ltz Mt,2018,,,,
MLM812841405,used,Distrito Federal,Coyoacán,1499000,MXN,Usado,4556 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,5,2.5,Gasolina,67000 km,Golf,Automática,2.5 Tipt Tela Techo Panoramico At,2013,,,,
MLM812841398,used,Distrito Federal,Coyoacán,143900,MXN,Usado,4397 mm,4,115 hp,,Delantera,Sí,1600 cc,Chevrolet,4,1.6,Gasolina,45000 km,Sonic,Automática,1.6 Lt At 4 p,2016,,,,
MLM812846757,used,Distrito Federal,Coyoacán,89900,MXN,Usado,,5,,,Delantera,Sí,1.8 L,Toyota,4,1.8,Gasolina,85000 km,Corolla,Automática,Le At,2006,,,,
MLM807833394,used,Distrito Federal,Benito Juárez,426000,MXN,Usado,,,,,Delantera,,1999 cc,Kia,5,,Gasolina,6050 km,Sedona,Automática,2.0 Lx At,2020,,,,
MLM813783880,used,Jalisco,Zapopan,119500,MXN,Usado,,,,,,,,Chevrolet,3,,Gasolina,105000 km,S-10,,Xtreme standar 6cil,2003,,,,
MLM812881907,used,Jalisco,Zapopan,109500,MXN,Usado,,,,,,,,Ford,2,,Gasolina,98300 km,Ranger,,Caja larga aut 6cil,2003,,,,
MLM813806033,used,Hidalgo,Pachuca De Soto,249000,MXN,Usado,4247 mm,5,140 hp,,Delantera,Sí,1796 cc,Chevrolet,5,1.8,Gasolina,56585 km,Trax,Automática,1.8 Premier At,2017,,,,
MLM803506805,used,Distrito Federal,Tlalpan,119900,MXN,Usado,,,,,Delantera,,1.6 L,Renault,4,,Gasolina,75000 km,Logan,Manual,1.6 Expression Mt,2015,,,,
MLM808639424,used,Distrito Federal,Tlalpan,149800,MXN,Usado,4652 mm,5,170 hp,No,Delantera,Sí,2.5 L,Volkswagen,4,2.5,Gasolina,59000 km,Jetta,Automática,2.5 Sport At,2013,,,,
MLM804294126,used,Distrito Federal,Coyoacán,689000,MXN,Usado,,5,,Sí,4x4,Sí,5.7 L,Jeep,5,5.7,Gasolina,40000 km,Grand Cherokee,Manual,5.7 Limited Premium V8 4x4 Mt,2014,,,,
MLM812865217,used,Jalisco,Zapopan,119500,MXN,Usado,,5,,,4x4,Sí,5.3 L,Chevrolet,5,5.3,Gasolina,105000 km,Suburban,Automática,B Tela Aa Dvd At,2004,,,,
MLM797916916,used,Distrito Federal,Tlalpan,269800,MXN,Usado,,,,,Delantera,,1797 cc,Toyota,5,,Gasolina,10100 km,Prius,Automática,1.8 Base Cvt,2018,,,,
MLM794664705,used,Distrito Federal,Tlalpan,219800,MXN,Usado,,,,,Delantera,,2 L,Audi,4,,Gasolina,49000 km,A4,Automática,2.0 T Trendy Plus Multitronic Cvt,2013,,,,
MLM805336635,used,Distrito Federal,Tlalpan,74900,MXN,Usado,3858 mm,3,,,Delantera,Sí,1.6 L,Chevrolet,3,1.6,Diésel,95000 km,Chevy,Manual,1.6 3p Paq D Mt,2011,,,,
MLM788475449,used,Distrito Federal,Coyoacán,149000,MXN,Usado,,,,Sí,,,750 cc,Harley-Davidson,,,Gasolina,100 km,Street 750,,,2018,HARLEY DAVIDSON,Chopper,,
