,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,SINGLE_OWNER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY
MLM803011216,used,Puebla,Puebla,215000,MXN,Usado,,5,160 hp,,Delantera,Sí,2 L,Ford,5,2.0,Gasolina,50000 km,Focus,Automática,2.0 Titanium At,2015,,,,
MLM807706225,used,Puebla,Puebla,159900,MXN,Usado,,,,,,,,Renault,4,,Gasolina,58000 km,Safrane,,Premium At 2014,2014,,,,
MLM803018936,used,Distrito Federal,Tlalpan,109900,MXN,Usado,,5,,,Delantera,Sí,2.4 L,Toyota,5,2.4,Gasolina,134000 km,Matrix,Automática,2.4 Xr Qc F Niebla Aleron Tras At,2009,,,,
MLM802929259,used,Puebla,Puebla,179900,MXN,Usado,4652 mm,5,115 hp,,Delantera,Sí,1984 cc,Volkswagen,4,2.0,Gasolina,52000 km,Jetta,Manual,2.0 L4 Mt 115 hp,2016,,,,
MLM806683438,used,Puebla,Puebla,135000,MXN,Usado,,5,,,Delantera,Sí,2.4 L,Dodge,5,2.4,Gasolina,85000 km,Journey,Automática,2.4 Se Ee At,2010,,,,
MLM792446558,used,Jalisco,Zapopan,259500,MXN,Usado,,,,,,,,Ford,4,,Gasolina,102000 km,F-150,,4x4 Doble cabina,2011,,,,
MLM811241826,used,Puebla,Puebla,99900,MXN,Usado,,,,,,,310 cc,BMW,,,,23000 km,Gs310 2018,,,2018,.,Bmw,,
MLM790441672,used,Jalisco,Zapopan,169500,MXN,Usado,3827 mm,5,106 hp,,Delantera,Sí,1598 cc,Nissan,5,1.6,Gasolina,26300 km,March,Manual,1.6 Sr Navi Mt,2018,,,,
MLM812126865,used,Distrito Federal,Benito Juárez,112000,MXN,Usado,,,,,,,,Ford,5,,Gasolina,115000 km,Ecosport,,XLT Estandar,2011,,,,
MLM812358725,used,Distrito Federal,Coyoacán,244900,MXN,Usado,4281 mm,5,150 hp,Sí,Delantera,Sí,1395 cc,SEAT,5,1.4,Gasolina,28000 km,Leon,Automática,1.4 Fr T 150 Hp Dsg,2016,,,,
MLM812339583,used,Distrito Federal,Coyoacán,59900,MXN,Usado,,4,,Sí,Trasera,Sí,2.2 L,Chevrolet,4,2.2,Gasolina,90000 km,Cavalier,Automática,Sedan Aa Equipado At,1999,,,,
MLM789331034,used,Jalisco,Zapopan,119500,MXN,Usado,,,,,,,,Hyundai,5,,Eléctrico,113934 km,i10,,1.2 gls hactback,2015,,,,
MLM807829558,used,Distrito Federal,Benito Juárez,426000,MXN,Usado,4140 mm,5,152 hp,,Delantera,Sí,1999 cc,Kia,5,2.0,Gasolina,5100 km,Sedona,Automática,2.0 Lx At,2020,,,,
MLM800631371,used,Jalisco,Zapopan,285000,MXN,Usado,4275 mm,5,148 hp,,Delantera,Sí,1998 cc,Mazda,5,2.0,Gasolina,42000 km,CX-3,Automática,2.0 I Grand Touring At,2017,,,,
MLM799762222,used,Puebla,Puebla,155000,MXN,Usado,,,,,,,,Volkswagen,4,,Gasolina,70000 km,Jetta,,Comfortline 2012 Mt,2012,,,,
MLM790865774,used,Puebla,Puebla,129900,MXN,Usado,,,,,Delantera,,1498 cc,Ford,4,,Gasolina,42000 km,Figo,Manual,1.5 Impulse Sedan Mt,2016,,,,
MLM812947109,used,Distrito Federal,Coyoacán,126900,MXN,Usado,,,,Sí,Trasera,Sí,0.9 L,Smart,2,0.9,Gasolina,38000 km,Fortwo,Manual,Coupe Black & White Mt,2013,,,,
MLM811943416,used,Distrito Federal,Coyoacán,459900,MXN,Usado,4672 mm,5,171 hp,Sí,Trasera,Sí,2488 cc,Renault,5,2.5,Gasolina,3000 km,Koleos,Automática,2.5 Iconic Cvt,2020,,,,
MLM804287288,used,Puebla,Puebla,205000,MXN,Usado,4384 mm,4,121 hp,,Delantera,Sí,1591 cc,Kia,4,1.6,Gasolina,32000 km,Rio,Automática,1.6 Lx Sedan At,2018,,,,
MLM803103886,used,Distrito Federal,Tlalpan,94900,MXN,Usado,4030 mm,5,,,Delantera,Sí,1.6 L,Peugeot,5,1.6,Gasolina,96000 km,207,Manual,1.6 5p Allure Mt,2012,,,,
MLM793977100,used,Puebla,Puebla,199900,MXN,Usado,4666 mm,4,153 hp,,Delantera,Sí,1399 cc,Chevrolet,4,1.4,Gasolina,38000 km,Cruze,Manual,1.4 Ls Mt,2017,,,,
MLM807725897,used,Distrito Federal,Coyoacán,229900,MXN,Usado,4580 mm,5,188 hp,,Delantera,Sí,2488 cc,Mazda,4,2.5,Gasolina,30000 km,Mazda 3,Automática,2.5 I Touring Sedan At,2017,,,,
MLM801996801,used,Puebla,Puebla,239900,MXN,Usado,4624 mm,5,,,4x2,Sí,2.4 L,Jeep,5,2.4,Gasolina,52000 km,Cherokee,Manual,2.4 Limited Mt,2014,,,,
MLM791647391,used,Jalisco,Zapopan,149500,MXN,Usado,4384 mm,5,140 hp,,Delantera,,2 L,Volkswagen,4,2.0,Diésel,75000 km,Vento,Automática,2.0 Highline At,2015,,,,
MLM809523332,used,Hidalgo,Pachuca De Soto,139000,MXN,Usado,5372 mm,2,,,4x2,Sí,4.6 L,Ford,2,4.6,Gasolina,134500 km,Lobo,Manual,4.6 Xlt Cabina Regular 4x2 Mt,2004,,,,
MLM800122437,used,Jalisco,Zapopan,319500,MXN,Usado,,,,,4x4,,2 L,Audi,2,,Gasolina,45000 km,A5,Automática,2.0 S Line Turbo S Tronic Quattro Dsg,2013,,,,
MLM806330589,used,Distrito Federal,Coyoacán,779900,MXN,Usado,4671 mm,2,431 hp,Sí,Trasera,Sí,2979 cc,BMW,2,3.0,Gasolina,23000 km,Serie M,Automática,3.0 M4 Coupe At,2016,,,,
MLM800096890,used,Distrito Federal,Cuajimalpa De Morelos,182500,MXN,Usado,4300 mm,5,,,4x4,Sí,1.6 L,Suzuki,5,1.6,Gasolina,68099 km,S-Cross,Automática,1.6 Glx 4wd At,2015,,,,
MLM801618956,used,Distrito Federal,Benito Juárez,129000,MXN,Usado,3765 mm,5,88 hp,,Delantera,Sí,1248 cc,Hyundai,5,1.3,Gasolina,38000 km,Grand i10,Automática,1.3 Gl Mid At,2016,,,,
MLM804480895,used,Distrito Federal,Tlalpan,294900,MXN,Usado,,,,,,,,BMW,4,,Gasolina,40000 km,Serie 3,,2.0 320ia Aut,2015,,,,
MLM811466365,used,Puebla,Puebla,89900,MXN,Usado,,5,,,Delantera,Sí,3.5 L,Honda,5,3.5,Gasolina,89900 km,Odyssey,Automática,3.5 Lx Minivan At,2005,,,,
