,Condition,State,City,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER,Price_MXN
MLM805152052,used,Hidalgo,Pachuca De Soto,Usado,4923.0,5.0,185.0,Trasera,Sí,1991.0,Mercedes-Benz,4.0,2.0,Gasolina,43145.0,Clase E,Automática,2.0 200 Cgi Avantgarde At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,329000.0
MLM804194237,used,Hidalgo,Pachuca De Soto,Usado,4432.0,2.0,184.0,Trasera,Sí,1997.0,BMW,2.0,2.0,Gasolina,78000.0,Serie 2,Automática,2.0 220ia Sport Line At,2016.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,295000.0
MLM810635258,used,Hidalgo,Pachuca De Soto,Usado,,,,nan,nan,650.0,Can-Am,nan,nan,nan,1350.0,Outlander,nan,nan,2018.0,nan,can -am,Cuatrimotos,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189000.0
MLM805511847,used,Hidalgo,Pachuca De Soto,Usado,,5.0,,4x4,Sí,3600.0,Porsche,5.0,3.6,Gasolina,99500.0,Cayenne,Automática,3.6 V6 Tiptronic At,2008.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,259000.0
MLM796882323,used,Puebla,Puebla,Usado,4834.0,5.0,,4x4,Sí,3600.0,Cadillac,5.0,3.6,Gasolina,42000.0,SRX,Automática,3.6 Premium At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,349900.0
MLM808635527,used,Hidalgo,Pachuca De Soto,Usado,,5.0,,4x2,Sí,5400.0,Ford,5.0,5.4,Gasolina,145000.0,Expedition,Automática,5.4 Limited Piel V8 4x2 At,2007.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,159000.0
MLM805172494,used,Puebla,Puebla,Usado,4581.0,5.0,,Delantera,Sí,1800.0,Mercedes-Benz,4.0,1.8,Gasolina,86000.0,Clase C,Manual,1.8 180 Cgi Mt,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,139900.0
MLM800122292,used,Jalisco,Zapopan,Usado,,,,nan,nan,,Ford,2.0,nan,Gasolina,123000.0,Ranger,nan,6cil standar aire,1994.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,81500.0
MLM799243313,used,Hidalgo,Pachuca De Soto,Usado,,5.0,,4x4,Sí,3000.0,BMW,5.0,3.0,Gasolina,149213.0,X5,Automática,3.0 Sia At,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,182000.0
MLM804608859,used,Hidalgo,Pachuca De Soto,Usado,5210.0,5.0,381.0,Trasera,Sí,5663.0,Toyota,5.0,5.7,Gasolina,66035.0,Sequoia,Automática,5.7 Platinum At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,399000.0
MLM805862900,used,Puebla,Puebla,Usado,,5.0,,4x2,Sí,4000.0,Ford,5.0,4.0,Gasolina,72000.0,Explorer,Manual,Limited V6 Sync 4x2 Mt,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,219900.0
MLM805839988,used,Hidalgo,Pachuca De Soto,Usado,,5.0,,4x2,Sí,3600.0,Dodge,5.0,3.6,Gasolina,41023.0,Durango,Automática,3.6 Limited V6 At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,349000.0
MLM802054117,used,Puebla,Puebla,Usado,4055.0,,,Delantera,Sí,1400.0,SEAT,2.0,1.4,Gasolina,50000.0,Ibiza,Manual,1.4 Cupra Mt Coupe,2015.0,nan,nan,nan,4.0,,,nan,nan,,nan,,nan,nan,nan,nan,nan,209900.0
MLM789338188,used,Jalisco,Zapopan,Usado,,,,nan,nan,1600.0,Kawasaki,nan,nan,nan,62000.0,Vulcan 1600,nan,nan,2006.0,nan,nan,Chopper,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,79500.0
MLM798412864,used,Puebla,Puebla,Usado,,5.0,,4x4,Sí,5300.0,Chevrolet,5.0,5.3,Gasolina,80000.0,Suburban,Automática,D Piel Aa Dvd Qc 4x4 At,2007.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,159900.0
MLM804715732,used,Hidalgo,Pachuca De Soto,Usado,5151.0,5.0,,Delantera,Sí,3600.0,Chrysler,5.0,3.6,Gasolina,63000.0,Town & Country,Manual,3.6 Limited Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,239000.0
MLM806938103,used,Puebla,Puebla,Usado,,,,nan,nan,,Volkswagen,4.0,nan,Gasolina,70000.0,Passat,nan,Cc At 2013,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,185000.0
MLM804621399,used,Hidalgo,Pachuca De Soto,Usado,4989.0,5.0,265.0,4x4,Sí,3498.0,Infiniti,5.0,3.5,Gasolina,45200.0,QX60,Automática,3.5 Perfection Plus Cvt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,449000.0
MLM803311877,used,Jalisco,Zapopan,Usado,3931.0,5.0,93.0,Delantera,nan,1600.0,Volkswagen,2.0,1.6,Gasolina,138000.0,Pointer Pick-Up,Manual,1.6 Crossover Mt,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,82500.0
MLM807926153,used,Hidalgo,Pachuca De Soto,Usado,4636.0,5.0,129.0,Delantera,Sí,1798.0,Nissan,4.0,1.8,Gasolina,35269.0,Sentra,Automática,1.8 Advance Cvt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,179000.0
MLM796029336,used,Hidalgo,Pachuca De Soto,Usado,4410.0,5.0,107.0,Delantera,Sí,1497.0,Toyota,4.0,1.5,Gasolina,44000.0,Yaris,Automática,1.5 Core At Sedan Cvt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,199000.0
MLM790453191,used,Puebla,Puebla,Usado,,,,4x4,nan,5400.0,Lincoln,5.0,nan,Gasolina,78000.0,Navigator,Automática,Vagoneta Ultime Qc Lujo 4x4 At,2008.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,195000.0
MLM806224886,used,Distrito Federal,Coyoacán,Usado,4671.0,2.0,431.0,Trasera,Sí,2979.0,BMW,2.0,3.0,Gasolina,8000.0,Serie M,Automática,3.0 M4 Coupe At,2018.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,1150000.0
MLM792704087,used,Puebla,Puebla,Usado,4294.0,5.0,141.0,Delantera,Sí,1799.0,Honda,5.0,1.8,Gasolina,20000.0,HR-V,Automática,1.8 Epic At Cvt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,265000.0
MLM792708012,used,Puebla,Puebla,Usado,,,,nan,nan,,GMC,5.0,nan,Gasolina,42000.0,Yukon,nan,Denali 2013 At,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,279900.0
MLM805863054,used,Puebla,Puebla,Usado,4799.0,5.0,210.0,Delantera,nan,2000.0,Volkswagen,4.0,2.0,Gasolina,71000.0,CC,Automática,2.0 Turbo Dsg Piel Qc At,2010.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,165000.0
MLM793711055,used,Puebla,Puebla,Usado,,5.0,,Delantera,Sí,2000.0,Ford,5.0,2.0,Gasolina,42000.0,Focus,Automática,2.0 St L4 T At,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,229900.0
MLM801992398,used,Puebla,Puebla,Usado,4460.0,5.0,,Delantera,Sí,2500.0,Mazda,5.0,2.5,Gasolina,47000.0,Mazda 3,Manual,2.5 S Sport Hatchback Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,215000.0
MLM792137361,used,Puebla,Puebla,Usado,4275.0,5.0,148.0,Delantera,Sí,1998.0,Mazda,5.0,2.0,Gasolina,8000.0,CX-3,Automática,2.0 I Sport 2wd At,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,325000.0
MLM808318328,used,Puebla,Puebla,Usado,5372.0,2.0,,4x2,Sí,4600.0,Ford,2.0,4.6,Gasolina,90000.0,Lobo,Manual,4.6 Xlt Cabina Regular 4x2 Mt,2005.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,119900.0
MLM777231126,used,Puebla,Puebla,Usado,,,,Delantera,nan,1799.0,Honda,5.0,nan,Gasolina,28000.0,HR-V,Automática,1.8 Epic At Cvt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,265000.0
MLM769383880,used,Puebla,Puebla,Usado,,,,Delantera,nan,2000.0,Renault,4.0,nan,Gasolina,72000.0,Fluence,Manual,2.0 Privilege Mt,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,145000.0
MLM790863628,used,Puebla,Puebla,Usado,,,,4x2,nan,2500.0,Mazda,5.0,nan,Gasolina,72000.0,CX-5,Manual,2.5 S Grand Touring 4x2 Mt,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,239900.0
MLM769171694,used,Puebla,Puebla,Usado,4365.0,5.0,163.0,Delantera,Sí,1598.0,Peugeot,5.0,1.6,Gasolina,42000.0,3008,Automática,1.6 Féline At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,245000.0
MLM803018936,used,Distrito Federal,Tlalpan,Usado,,5.0,,Delantera,Sí,2400.0,Toyota,5.0,2.4,Gasolina,135000.0,Matrix,Automática,2.4 Xr Qc F Niebla Aleron Tras At,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,109900.0
MLM807905623,used,Puebla,Puebla,Usado,,5.0,,Delantera,Sí,2400.0,Dodge,5.0,2.4,Gasolina,57000.0,Journey,Automática,2.4 Se L4 5pas At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189900.0
MLM792143447,used,Jalisco,Zapopan,Usado,,5.0,,4x2,Sí,4700.0,Jeep,5.0,4.7,Gasolina,172000.0,Grand Cherokee,Automática,Limited V8 4x2 At,2005.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,119500.0
MLM809425056,used,Distrito Federal,Coyoacán,Usado,4294.0,5.0,141.0,Delantera,Sí,1799.0,Honda,5.0,1.8,Gasolina,42000.0,HR-V,Automática,1.8 Epic At Cvt,2016.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,239900.0
MLM812927492,used,Hidalgo,Pachuca De Soto,Usado,5829.0,2.0,420.0,4x4,Sí,6162.0,GMC,2.0,6.2,Gasolina,23000.0,Sierra,Automática,6.2 Denali Dvd At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,695000.0
MLM808610756,used,Hidalgo,Pachuca De Soto,Usado,4460.0,5.0,188.0,Delantera,Sí,2488.0,Mazda,5.0,2.5,Gasolina,21000.0,Mazda 3,Automática,2.5 S Grand Touring Hchback At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,295000.0
MLM777241970,used,Puebla,Puebla,Usado,4397.0,4.0,115.0,Delantera,Sí,1600.0,Chevrolet,4.0,1.6,Gasolina,40000.0,Sonic,Manual,1.6 Ls Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,145000.0
MLM771447548,used,Puebla,Puebla,Usado,,,,nan,nan,,Suzuki,4.0,nan,Gasolina,35000.0,Vitara,nan,Boosterjet At 2018,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,299900.0
MLM802011041,used,Puebla,Puebla,Usado,4652.0,5.0,115.0,Delantera,nan,2000.0,Volkswagen,4.0,2.0,Gasolina,42000.0,Jetta Clásico,Manual,2.0 Cl Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,139900.0
MLM802442475,used,Puebla,Puebla,Usado,5258.0,,158.0,Trasera,Sí,2488.0,Nissan,4.0,2.5,Gasolina,48000.0,NP300,Manual,2.4 Doble Cabina Se Aa Pack Seg Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,279900.0
MLM780676279,used,Puebla,Puebla,Usado,,,,Delantera,nan,1800.0,Chevrolet,4.0,nan,Gasolina,89000.0,Cruze,Manual,1.8 Ls Mt,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,135000.0
MLM803039109,used,Puebla,Puebla,Usado,4652.0,5.0,200.0,Delantera,nan,2000.0,Volkswagen,4.0,2.0,Gasolina,76000.0,Jetta Clásico,Manual,2.0 Gl Team 5vel Mt,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,125000.0
MLM775330390,used,Puebla,Puebla,Usado,,,,Delantera,nan,1598.0,Volkswagen,5.0,nan,Gasolina,30000.0,Caddy,Manual,1.6 Pasajeros Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,225000.0
MLM808171138,used,Puebla,Puebla,Usado,4652.0,5.0,170.0,Delantera,nan,2500.0,Volkswagen,4.0,2.5,Gasolina,72000.0,Jetta,Automática,2.5 Sport Qc At,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,135000.0
MLM800132258,used,Hidalgo,Pachuca De Soto,Usado,4726.0,4.0,190.0,Delantera,Sí,1984.0,Audi,4.0,2.0,Gasolina,45000.0,A4,Automática,2.0 T S Line 190hp Dsg,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,349000.0
MLM789602901,used,Jalisco,Zapopan,Usado,3495.0,5.0,71.0,Trasera,Sí,999.0,Smart,5.0,1.0,Gasolina,48000.0,Forfour,Manual,1.0 Prime Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,179500.0
MLM771441798,used,Puebla,Puebla,Usado,,,,4x4,nan,3488.0,Nissan,5.0,nan,Gasolina,50000.0,Pathfinder,Automática,3.5 Exclusive 4x4 Cvt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,345000.0
MLM801582503,used,Puebla,Puebla,Usado,,4.0,278.0,Delantera,Sí,3500.0,Honda,4.0,3.5,Gasolina,43000.0,Accord,Manual,3.5 Exl V6 Navi Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,289900.0
MLM769182417,used,Puebla,Puebla,Usado,5008.0,5.0,260.0,4x4,Sí,3488.0,Nissan,5.0,3.5,Gasolina,50000.0,Pathfinder,Automática,3.5 Exclusive 4x4 Cvt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,349900.0
MLM804605244,used,Hidalgo,Pachuca De Soto,Usado,4672.0,4.0,240.0,Trasera,Sí,1999.0,Jaguar,4.0,2.0,Gasolina,52300.0,XE,Automática,2.0 Pure At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,445000.0
MLM812358725,used,Distrito Federal,Coyoacán,Usado,4281.0,5.0,150.0,Delantera,Sí,1395.0,SEAT,5.0,1.4,Gasolina,28000.0,Leon,Automática,1.4 Fr T 150 Hp Dsg,2016.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,244900.0
MLM806671334,used,Puebla,Puebla,Usado,4917.0,,,Delantera,Sí,3500.0,Mercedes-Benz,2.0,3.5,Gasolina,100000.0,Clase CLS,Manual,3.5 350 Mt,2008.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,135000.0
MLM796529617,used,Puebla,Puebla,Usado,4532.0,4.0,110.0,Delantera,Sí,1598.0,Dodge,4.0,1.6,Gasolina,46000.0,Neon,Automática,1.6 Sxt At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,179900.0
MLM812992589,used,Puebla,Puebla,Usado,4652.0,5.0,200.0,Delantera,nan,2000.0,Volkswagen,4.0,2.0,Gasolina,90000.0,Jetta Clásico,Automática,2.0 Trendline Tipronic At,2010.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,99900.0
MLM776128577,used,Puebla,Puebla,Usado,,,,nan,nan,,Chrysler,5.0,nan,Gasolina,65000.0,Town & Country,nan,Lx 2012 At,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,149900.0
MLM786362198,used,Hidalgo,Pachuca De Soto,Usado,4671.0,5.0,354.0,4x4,Sí,2995.0,Audi,5.0,3.0,Gasolina,71000.0,Q5,Automática,3.0 Sq5 T 354 Hp At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,499000.0
MLM809503368,used,Puebla,Puebla,Usado,,,,nan,nan,,Chevrolet,3.0,nan,Gasolina,100000.0,400Ss,nan,At 1993,1993.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,149900.0
MLM790863061,used,Puebla,Puebla,Usado,,,,nan,nan,,Peugeot,5.0,nan,Diésel,90000.0,Manager,nan,Pasajeros Mt 2015,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,249900.0
MLM811241826,used,Puebla,Puebla,Usado,,,,nan,nan,310.0,BMW,nan,nan,nan,23000.0,Gs310 2018,nan,nan,2018.0,nan,.,Bmw,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,99900.0
MLM806602100,used,Puebla,Puebla,Usado,4888.0,5.0,,Delantera,Sí,2400.0,Dodge,5.0,2.4,Gasolina,50000.0,Journey,Manual,2.4 Se Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,209900.0
MLM806330589,used,Distrito Federal,Coyoacán,Usado,4671.0,2.0,431.0,Trasera,Sí,2979.0,BMW,2.0,3.0,Gasolina,23000.0,Serie M,Automática,3.0 M4 Coupe At,2016.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,779900.0
MLM803013003,used,Distrito Federal,Tlalpan,Usado,4239.0,5.0,,Trasera,Sí,2000.0,BMW,5.0,2.0,Gasolina,117000.0,Serie 1,Automática,2.0 5p 120ia M Sport At,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,137900.0
MLM807706225,used,Puebla,Puebla,Usado,,,,nan,nan,,Renault,4.0,nan,Gasolina,58000.0,Safrane,nan,Premium At 2014,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,159900.0
MLM790062705,used,Jalisco,Zapopan,Usado,4695.0,5.0,,4x4,Sí,3500.0,Mitsubishi,5.0,3.5,Gasolina,92000.0,Montero,Manual,3.5 Sun & Sound 4x4 Mt,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,289500.0
MLM800119758,used,Jalisco,Zapopan,Usado,,,,nan,nan,,Ford,2.0,nan,Gasolina,89000.0,F-150,nan,6cil automática,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,199500.0
MLM792817251,used,Puebla,Puebla,Usado,,,,nan,nan,500.0,Kawasaki,nan,nan,nan,20000.0,Ninja 500R,nan,nan,2006.0,nan,nan,.,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,45000.0
MLM790441672,used,Jalisco,Zapopan,Usado,3827.0,5.0,106.0,Delantera,Sí,1598.0,Nissan,5.0,1.6,Gasolina,26300.0,March,Manual,1.6 Sr Navi Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,169500.0
MLM810030869,used,Distrito Federal,Coyoacán,Usado,,5.0,281.0,Delantera,Sí,3600.0,Chevrolet,5.0,3.6,Gasolina,42000.0,Traverse,Automática,3.6 Lt V6 7 Pas At,2014.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,259900.0
MLM790865774,used,Puebla,Puebla,Usado,,,,Delantera,nan,1498.0,Ford,4.0,nan,Gasolina,42000.0,Figo,Manual,1.5 Impulse Sedan Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,129900.0
MLM800631371,used,Jalisco,Zapopan,Usado,4275.0,5.0,148.0,Delantera,Sí,1998.0,Mazda,5.0,2.0,Gasolina,42000.0,CX-3,Automática,2.0 I Grand Touring At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,275000.0
MLM803011216,used,Puebla,Puebla,Usado,,5.0,160.0,Delantera,Sí,2000.0,Ford,5.0,2.0,Gasolina,50000.0,Focus,Automática,2.0 Titanium At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,215000.0
MLM789334587,used,Jalisco,Zapopan,Usado,,,,nan,nan,,Suzuki,5.0,nan,Gasolina,60000.0,Ignis,nan,Automático,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189500.0
MLM806683438,used,Puebla,Puebla,Usado,,5.0,,Delantera,Sí,2400.0,Dodge,5.0,2.4,Gasolina,85000.0,Journey,Automática,2.4 Se Ee At,2010.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,135000.0
MLM813550974,used,Puebla,Puebla,Usado,,4.0,,4x2,Sí,5700.0,Dodge,4.0,5.7,Gasolina,80000.0,Ram 2500,Manual,5.7 Pickup Crew Cab Laramie 4x2 Mt,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,299900.0
MLM807462822,used,Puebla,Puebla,Usado,4822.0,5.0,290.0,4x2,Sí,3604.0,Jeep,5.0,3.7,Gasolina,41000.0,Grand Cherokee,Automática,3.7 Limited 3.6 4x2 At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,549900.0
MLM808301489,used,Puebla,Puebla,Usado,5126.0,5.0,,4x4,Sí,3600.0,Buick,5.0,3.6,Diésel,69000.0,Enclave,Automática,3.6 Paq D At,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,219900.0
MLM794976314,used,Puebla,Puebla,Usado,4669.0,2.0,400.0,Trasera,Sí,2997.0,Infiniti,2.0,3.0,Gasolina,17000.0,Q60,Automática,3.0 400 Sport At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,650000.0
MLM812843764,used,Distrito Federal,Coyoacán,Usado,,,,nan,nan,800.0,BMW,nan,2 tiempos,Gasolina,49000.0,F 850 Gs,nan,nan,2010.0,nan,BMW,Doble propósito,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,129900.0
MLM789331034,used,Jalisco,Zapopan,Usado,,,,nan,nan,,Hyundai,5.0,nan,Eléctrico,113934.0,i10,nan,1.2 gls hactback,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,114500.0
MLM792446558,used,Jalisco,Zapopan,Usado,,,,nan,nan,,Ford,4.0,nan,Gasolina,102000.0,F-150,nan,4x4 Doble cabina,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,254500.0
MLM803018978,used,Distrito Federal,Tlalpan,Usado,4455.0,4.0,118.0,Delantera,Sí,1497.0,Honda,4.0,1.5,Gasolina,47000.0,City,Automática,1.5 Ex At Cvt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,199900.0
MLM812947109,used,Distrito Federal,Coyoacán,Usado,,,,Trasera,Sí,900.0,Smart,2.0,0.9,Gasolina,38000.0,Fortwo,Manual,Coupe Black & White Mt,2013.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,126900.0
MLM813790468,used,Hidalgo,Pachuca De Soto,Usado,,3.0,,Delantera,Sí,1400.0,Fiat,3.0,1.4,Gasolina,50000.0,500,Manual,1.4 3p Trendy L4 Man Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,129000.0
MLM803103886,used,Distrito Federal,Tlalpan,Usado,4030.0,5.0,,Delantera,Sí,1600.0,Peugeot,5.0,1.6,Gasolina,96000.0,207,Manual,1.6 5p Allure Mt,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,94900.0
MLM810091924,used,Puebla,Puebla,Usado,4759.0,5.0,,4x2,Sí,4700.0,Jeep,5.0,4.7,Gasolina,90000.0,Grand Cherokee,Manual,4.7 Limited V8 4x2 Mt,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,219900.0
MLM801996801,used,Puebla,Puebla,Usado,4624.0,5.0,,4x2,Sí,2400.0,Jeep,5.0,2.4,Gasolina,52000.0,Cherokee,Manual,2.4 Limited Mt,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,239900.0
MLM803551421,used,Distrito Federal,Benito Juárez,Usado,4091.0,5.0,,Delantera,Sí,1600.0,Renault,5.0,1.6,Gasolina,48000.0,Stepway,Manual,1.6 Dynamique Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,125000.0
MLM802929259,used,Puebla,Puebla,Usado,4652.0,5.0,115.0,Delantera,Sí,1984.0,Volkswagen,4.0,2.0,Gasolina,52000.0,Jetta,Manual,2.0 L4 Mt 115 hp,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,179900.0
MLM808398181,used,Jalisco,Zapopan,Usado,,,,nan,nan,,Chevrolet,3.0,nan,Gasolina,136000.0,S-10,nan,Automática 4cil,1998.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,98500.0
MLM804480895,used,Distrito Federal,Tlalpan,Usado,,,,nan,nan,,BMW,4.0,nan,Gasolina,40000.0,Serie 3,nan,2.0 320ia Aut,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,294900.0
MLM793977100,used,Puebla,Puebla,Usado,4666.0,4.0,153.0,Delantera,Sí,1399.0,Chevrolet,4.0,1.4,Gasolina,38000.0,Cruze,Manual,1.4 Ls Mt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,199900.0
