,Condition,State,City,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER,Price_MXN
MLM799640367,used,Querétaro,Querétaro,Usado,,,,nan,nan,1000.0,Honda,nan,nan,nan,8524.0,CBR 1000,nan,nan,2016.0,No,Honda,Deportivas,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,173000.0
MLM798585228,used,Distrito Federal,Gustavo A. Madero,Usado,,,,Delantera,nan,,Chevrolet,4.0,nan,Gasolina,60000.0,Suburban,Automática,LT AUT AC 7 PASJS,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,219000.0
MLM796057764,used,Distrito Federal,Coyoacán,Usado,4507.0,,580.0,4x4,Sí,3800.0,Porsche,2.0,3.8,Gasolina,7500.0,911,Automática,3.8 Turbo S Pdk At,2017.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,2400000.0
MLM791931871,used,Puebla,Puebla,Usado,,,,4x4,Sí,,Ford,4.0,3.5,Gasolina,13000.0,Lobo,Automática,RAPTOR,2018.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,1058000.0
MLM786420860,used,Estado De México,Huixquilucan,Usado,,,,Delantera,nan,,Nissan,4.0,nan,Gasolina,33000.0,Versa,Manual,1.6 Sense Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,163900.0
MLM784714386,used,Morelos,Cuernavaca,Usado,,,,Delantera,nan,3471.0,Honda,5.0,nan,Gasolina,31300.0,Odyssey,Automática,3.5 Exl At 280 hp,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,710000.0
MLM796367920,new,Distrito Federal,Iztacalco,Nuevo,,,,nan,nan,400.0,Bajaj,nan,nan,nan,0.0,Pulsar 200 RS,nan,nan,2020.0,No,BAJAJ,Deportivas,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,79999.0
MLM778720677,not_specified,Jalisco,Guadalajara,,,,,nan,nan,,Mitsubishi,nan,nan,nan,,2006,nan,nan,2006.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,10000.0
MLM807457248,used,Estado De México,Tlalnepantla de Baz,Usado,,,,nan,No,,Kia,4.0,nan,Gasolina,16894.0,Rio,nan,SEDAN 4P LX L4/1.6 MAN,2020.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,229000.0
MLM780390519,not_specified,Nuevo León,García,,,,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,2018.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,335000.0
MLM780384307,not_specified,Nuevo León,García,,,,,nan,nan,,ATRO,nan,nan,nan,,nan,nan,nan,2018.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,335000.0
MLM780384234,not_specified,Nuevo León,García,,,,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,2018.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,335000.0
