,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM799010370,used,Querétaro,Querétaro,435000.0,MXN,Usado,,,,4x4,,3.8 L,Jeep,5,,Gasolina,80000 km,Wrangler,Automática,X Sahara Unlimited 4x4 At,2011,,,,,,,,,,,,,,,,
MLM789598821,used,Nuevo León,Guadalupe,160000.0,MXN,Usado,,,,Delantera,,1798 cc,Nissan,4,,Gasolina,102000 km,Sentra,Automática,1.8 Exclusive At Cvt,2016,,,,,,,,,,,,,,,,
MLM804354370,used,Jalisco,Zapopan,79000.0,MXN,Usado,,,,,,,USM,,,,,S25G28,,,2000,,,,,,,,,,,,,,,,
MLM775039194,used,Quintana Roo,Cancún/Benito Juárez,199900.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,45709 km,Cavalier,Automática,4 pts. C PREMIER AT,2019,,,,,,,,,,,,,,,,
MLM797003311,used,Puebla,Puebla,304000.0,MXN,Usado,,,,Trasera,,2694 cc,Toyota,2,,Gasolina,23800 km,Hiace,Manual,2.7 Panel Super Larga Mt,2018,,,,,,,,,,,,,,,,
MLM774498535,used,Jalisco,Zapopan,499000.0,MXN,Usado,,,,Delantera,,,Kia,4,,Gasolina,6600 km,Niro,Automática,"5 pts. EX Híbrido, TA, A/AC, f.led, Piel, QC, RA-18",2019,,,,,,,,,,,,,,,,
MLM774482620,used,Distrito Federal,Coyoacán,498000.0,MXN,Usado,5290 mm,5,,4x4,Sí,5.6 L,Infiniti,5,5.6,Gasolina,21000 km,QX80,Manual,5.6l 56 8 Pasajeros Mt,2015,No,,,,,,,,,,,,,,,
MLM773820257,new,Veracruz,Poza Rica De Hidalgo,375000.0,MXN,Nuevo,,,,Delantera,,,Chevrolet,4,,Gasolina,0 km,Trax,Automática,5p Premier C,2020,,,,,,,,,,,,,,,,
MLM765475446,used,Quintana Roo,Cancún/Benito Juárez,149900.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,38905 km,Aveo,Automática,4p LT L4/1.5 Aut,2019,,,,,,,,,,,,,,,,
MLM761159579,used,Morelos,Cuernavaca,660000.0,MXN,Usado,,,,Trasera,Sí,,Infiniti,4,,Gasolina,1000 km,Q70,Automática,4p Q70 Perfection V8/5.6 Aut,2017,Sí,,,,,,,,,,,,,,,
MLM812456127,new,Distrito Federal,Miguel Hidalgo,799900.0,MXN,Nuevo,,,,Integral,No,,Volvo,4,2.0T,Gasolina,0 km,XC40,Automática,R-desing,2020,No,,,,,,,,,,,,,,,
MLM795094612,used,Distrito Federal,Coyoacán,419000.0,MXN,Usado,4856 mm,5,,Delantera,Sí,3 L,Mercedes-Benz,4,3.0,Gasolina,80000 km,Clase E,Manual,3.0 280 Avantgarde Mt,2009,,,,,,,,,,,,,,,,
MLM777125404,used,Nuevo León,Guadalupe,116000.0,MXN,Usado,,,,Delantera,,1193 cc,Mitsubishi,4,,Gasolina,67000 km,Mirage,Manual,1.2 Glx Mt,2016,,,,,,,,,,,,,,,,
MLM814444296,used,Distrito Federal,Azcapotzalco,355000.0,MXN,Usado,4241 mm,5,190 hp,Delantera,Sí,1984 cc,Audi,5,2.0,Gasolina,48000 km,A3,Automática,2.0 L Select At Dsg,2018,,,,,,,,,,,,,,,,
